"Channel Title","Channel URL","Channel ID",Position,"Video Title","Video URL","Video ID","Publish Date",Duration,Views,Description,"Thumbnail URL","Availability Status"
GothamChess,https://www.youtube.com/@gothamchess,UCQHX6ViZmPsWiYSFAyS0a3Q,1,"Magnus Carlsen Gets Disrespected.... Then Obliterates His Opponent",https://www.youtube.com/watch?v=OhBPOjLpunI,OhBPOjLpunI,2026-09-05T18:10:14Z,20:38,"444,776","AUTOGRAPHED BOOKS: https://sites.prh.com/gothamchessbook

BOOK EVENTS NYC: https://sites.prh.com/gothamchessbook/book-tour/

EUROPE TOUR 2026 TICKETS: https://www.apollomasters.de/events/

Want to SKYROCKET your chess elo? Try Chessly: https://www.chessly.com 

➡️ My book in the UK and Europe: https://bit.ly/3qFqSf7
➡️ Mein Buch auf Deutsch: https://bit.ly/45fKt3R
➡️ Mi libro en Español: https://bit.ly/3Y5xaRx
➡️ Mon livre en français: https://bit.ly/3W9rQvQ
➡️ Il mio libro in italiano: https://amzn.to/3yY1Qfc
➡️ Το βιβλίο μου στα ελληνικά: https://bit.ly/3SitmdS
➡️ My book in ALL OTHER LANGUAGES: https://bit.ly/3YiagZd

➡️ Start Playing Chess FOR FREE: http://bit.ly/3Xa3EsB

➡️ Enjoy my videos? Donate Here : https://www.paypal.me/gothamchess

Email me your games: gothamletters@gmail.com
Business and Speaking Inquiries: Info@apollomasters.de

⭐️ Follow Me If You Are Amazing:
➡️ FACEBOOK:  https://www.facebook.com/gothamchessofficial
➡️ SNAP: https://www.snapchat.com/add/levy.rozman

➡️ INSTAGRAM: https://www.instagram.com/gothamchess/
➡️ TWITCH:  https://www.twitch.tv/gothamchess
➡️ TIKTOK: https://www.tiktok.com/@levyrozman
➡️ TWITTER: https://twitter.com/gothamchess
➡️ GOTHAM DISCORD:   https://discord.gg/f2ETqcWKdt

➡️ THUMBNAILS by : https://www.instagram.com/agmek.thumbnails",https://i.ytimg.com/vi/OhBPOjLpunI/hqdefault.jpg,available
GothamChess,https://www.youtube.com/@gothamchess,UCQHX6ViZmPsWiYSFAyS0a3Q,2,"DIAMOND MEMBERSHIP",https://www.youtube.com/watch?v=L28XGOXh2N4,L28XGOXh2N4,2026-09-05T11:45:30Z,00:34,"378,826","Want to SKYROCKET your chess elo? Try Chessly: https://www.chessly.com 

Get my BESTSELLING Chess Books for BEGINNER and INTERMEDIATE: https://sites.prh.com/gothamchessbook

➡️ My book in the UK and Europe: https://bit.ly/3qFqSf7
➡️ Mein Buch auf Deutsch: https://bit.ly/45fKt3R
➡️ Mi libro en Español: https://bit.ly/3Y5xaRx
➡️ Mon livre en français: https://bit.ly/3W9rQvQ
➡️ Il mio libro in italiano: https://amzn.to/3yY1Qfc
➡️ Το βιβλίο μου στα ελληνικά: https://bit.ly/3SitmdS
➡️ My book in ALL OTHER LANGUAGES: https://bit.ly/3YiagZd

➡️ Start Playing Chess FOR FREE: http://bit.ly/3Xa3EsB

➡️ Enjoy my videos? Donate Here : https://www.paypal.me/gothamchess

Email me your games: gothamletters@gmail.com
Business and Speaking Inquiries: Info@apollomasters.de

⭐️ Follow Me If You Are Amazing:
➡️ FACEBOOK:  https://www.facebook.com/gothamchessofficial
➡️ SNAP: https://www.snapchat.com/add/levy.rozman

➡️ INSTAGRAM: https://www.instagram.com/gothamchess/
➡️ TWITCH:  https://www.twitch.tv/gothamchess
➡️ TIKTOK: https://www.tiktok.com/@levyrozman
➡️ TWITTER: https://twitter.com/gothamchess
➡️ GOTHAM DISCORD:   https://discord.gg/f2ETqcWKdt",https://i.ytimg.com/vi/L28XGOXh2N4/hqdefault.jpg,available
GothamChess,https://www.youtube.com/@gothamchess,UCQHX6ViZmPsWiYSFAyS0a3Q,3,"This Chess Opening is FREE ELO",https://www.youtube.com/watch?v=fGXyAXcXkpg,fGXyAXcXkpg,2026-09-04T13:30:12Z,40:55,"530,312","PREORDER NEW BOOK: https://www.amazon.com/How-Win-Chess-Next-Level/dp/0593837819

EUROPE TOUR 2026 TICKETS: https://www.apollomasters.de/events/

Want to SKYROCKET your chess elo? Try Chessly: https://www.chessly.com 

➡️ My book in the UK and Europe: https://bit.ly/3qFqSf7
➡️ Mein Buch auf Deutsch: https://bit.ly/45fKt3R
➡️ Mi libro en Español: https://bit.ly/3Y5xaRx
➡️ Mon livre en français: https://bit.ly/3W9rQvQ
➡️ Il mio libro in italiano: https://amzn.to/3yY1Qfc
➡️ Το βιβλίο μου στα ελληνικά: https://bit.ly/3SitmdS
➡️ My book in ALL OTHER LANGUAGES: https://bit.ly/3YiagZd

➡️ Start Playing Chess FOR FREE: http://bit.ly/3Xa3EsB

➡️ Enjoy my videos? Donate Here : https://www.paypal.me/gothamchess

Email me your games: gothamletters@gmail.com
Business and Speaking Inquiries: Info@apollomasters.de

⭐️ Follow Me If You Are Amazing:
➡️ FACEBOOK:  https://www.facebook.com/gothamchessofficial
➡️ SNAP: https://www.snapchat.com/add/levy.rozman

➡️ INSTAGRAM: https://www.instagram.com/gothamchess/
➡️ TWITCH:  https://www.twitch.tv/gothamchess
➡️ TIKTOK: https://www.tiktok.com/@levyrozman
➡️ TWITTER: https://twitter.com/gothamchess
➡️ GOTHAM DISCORD:   https://discord.gg/f2ETqcWKdt

➡️ THUMBNAILS by : https://www.instagram.com/agmek.thumbnails",https://i.ytimg.com/vi/fGXyAXcXkpg/hqdefault.jpg,available
GothamChess,https://www.youtube.com/@gothamchess,UCQHX6ViZmPsWiYSFAyS0a3Q,4,"Is this AI?",https://www.youtube.com/watch?v=LeRBOqzshfo,LeRBOqzshfo,2026-09-04T11:08:24Z,00:12,"2,076,299","Want to SKYROCKET your chess elo? Try Chessly: https://www.chessly.com 

Get my BESTSELLING Chess Books for BEGINNER and INTERMEDIATE: https://sites.prh.com/gothamchessbook

➡️ My book in the UK and Europe: https://bit.ly/3qFqSf7
➡️ Mein Buch auf Deutsch: https://bit.ly/45fKt3R
➡️ Mi libro en Español: https://bit.ly/3Y5xaRx
➡️ Mon livre en français: https://bit.ly/3W9rQvQ
➡️ Il mio libro in italiano: https://amzn.to/3yY1Qfc
➡️ Το βιβλίο μου στα ελληνικά: https://bit.ly/3SitmdS
➡️ My book in ALL OTHER LANGUAGES: https://bit.ly/3YiagZd

➡️ Start Playing Chess FOR FREE: http://bit.ly/3Xa3EsB

➡️ Enjoy my videos? Donate Here : https://www.paypal.me/gothamchess

Email me your games: gothamletters@gmail.com
Business and Speaking Inquiries: Info@apollomasters.de

⭐️ Follow Me If You Are Amazing:
➡️ FACEBOOK:  https://www.facebook.com/gothamchessofficial
➡️ SNAP: https://www.snapchat.com/add/levy.rozman

➡️ INSTAGRAM: https://www.instagram.com/gothamchess/
➡️ TWITCH:  https://www.twitch.tv/gothamchess
➡️ TIKTOK: https://www.tiktok.com/@levyrozman
➡️ TWITTER: https://twitter.com/gothamchess
➡️ GOTHAM DISCORD:   https://discord.gg/f2ETqcWKdt",https://i.ytimg.com/vi/LeRBOqzshfo/hqdefault.jpg,available
GothamChess,https://www.youtube.com/@gothamchess,UCQHX6ViZmPsWiYSFAyS0a3Q,5,"I can't do this anymore. Goodbye.",https://www.youtube.com/watch?v=DlIzniF9DiY,DlIzniF9DiY,2026-09-03T15:46:07Z,23:52,"556,615","AUTOGRAPHED BOOKS: https://sites.prh.com/gothamchessbook

BOOK EVENTS NYC: https://sites.prh.com/gothamchessbook/book-tour/

EUROPE TOUR 2026 TICKETS: https://www.apollomasters.de/events/

Want to SKYROCKET your chess elo? Try Chessly: https://www.chessly.com 

➡️ My book in the UK and Europe: https://bit.ly/3qFqSf7
➡️ Mein Buch auf Deutsch: https://bit.ly/45fKt3R
➡️ Mi libro en Español: https://bit.ly/3Y5xaRx
➡️ Mon livre en français: https://bit.ly/3W9rQvQ
➡️ Il mio libro in italiano: https://amzn.to/3yY1Qfc
➡️ Το βιβλίο μου στα ελληνικά: https://bit.ly/3SitmdS
➡️ My book in ALL OTHER LANGUAGES: https://bit.ly/3YiagZd

➡️ Start Playing Chess FOR FREE: http://bit.ly/3Xa3EsB

➡️ Enjoy my videos? Donate Here : https://www.paypal.me/gothamchess

Email me your games: gothamletters@gmail.com
Business and Speaking Inquiries: Info@apollomasters.de

⭐️ Follow Me If You Are Amazing:
➡️ FACEBOOK:  https://www.facebook.com/gothamchessofficial
➡️ SNAP: https://www.snapchat.com/add/levy.rozman

➡️ INSTAGRAM: https://www.instagram.com/gothamchess/
➡️ TWITCH:  https://www.twitch.tv/gothamchess
➡️ TIKTOK: https://www.tiktok.com/@levyrozman
➡️ TWITTER: https://twitter.com/gothamchess
➡️ GOTHAM DISCORD:   https://discord.gg/f2ETqcWKdt

➡️ THUMBNAILS by : https://www.instagram.com/agmek.thumbnails",https://i.ytimg.com/vi/DlIzniF9DiY/hqdefault.jpg,available
GothamChess,https://www.youtube.com/@gothamchess,UCQHX6ViZmPsWiYSFAyS0a3Q,6,"Bro was not ready 💀",https://www.youtube.com/watch?v=7VCTNhio77w,7VCTNhio77w,2026-09-02T21:20:34Z,00:18,"628,967","Want to SKYROCKET your chess elo? Try Chessly: https://www.chessly.com 

Get my BESTSELLING Chess Books for BEGINNER and INTERMEDIATE: https://sites.prh.com/gothamchessbook

➡️ My book in the UK and Europe: https://bit.ly/3qFqSf7
➡️ Mein Buch auf Deutsch: https://bit.ly/45fKt3R
➡️ Mi libro en Español: https://bit.ly/3Y5xaRx
➡️ Mon livre en français: https://bit.ly/3W9rQvQ
➡️ Il mio libro in italiano: https://amzn.to/3yY1Qfc
➡️ Το βιβλίο μου στα ελληνικά: https://bit.ly/3SitmdS
➡️ My book in ALL OTHER LANGUAGES: https://bit.ly/3YiagZd

➡️ Start Playing Chess FOR FREE: http://bit.ly/3Xa3EsB

➡️ Enjoy my videos? Donate Here : https://www.paypal.me/gothamchess

Email me your games: gothamletters@gmail.com
Business and Speaking Inquiries: Info@apollomasters.de

⭐️ Follow Me If You Are Amazing:
➡️ FACEBOOK:  https://www.facebook.com/gothamchessofficial
➡️ SNAP: https://www.snapchat.com/add/levy.rozman

➡️ INSTAGRAM: https://www.instagram.com/gothamchess/
➡️ TWITCH:  https://www.twitch.tv/gothamchess
➡️ TIKTOK: https://www.tiktok.com/@levyrozman
➡️ TWITTER: https://twitter.com/gothamchess
➡️ GOTHAM DISCORD:   https://discord.gg/f2ETqcWKdt",https://i.ytimg.com/vi/7VCTNhio77w/hqdefault.jpg,available
GothamChess,https://www.youtube.com/@gothamchess,UCQHX6ViZmPsWiYSFAyS0a3Q,7,"He's back.",https://www.youtube.com/watch?v=BsYGXeYEf8Q,BsYGXeYEf8Q,2026-09-02T17:50:29Z,25:58,"713,350","AUTOGRAPHED BOOKS: https://sites.prh.com/gothamchessbook

BOOK EVENTS NYC: https://sites.prh.com/gothamchessbook/book-tour/

EUROPE TOUR 2026 TICKETS: https://www.apollomasters.de/events/

Want to SKYROCKET your chess elo? Try Chessly: https://www.chessly.com 

➡️ My book in the UK and Europe: https://bit.ly/3qFqSf7
➡️ Mein Buch auf Deutsch: https://bit.ly/45fKt3R
➡️ Mi libro en Español: https://bit.ly/3Y5xaRx
➡️ Mon livre en français: https://bit.ly/3W9rQvQ
➡️ Il mio libro in italiano: https://amzn.to/3yY1Qfc
➡️ Το βιβλίο μου στα ελληνικά: https://bit.ly/3SitmdS
➡️ My book in ALL OTHER LANGUAGES: https://bit.ly/3YiagZd

➡️ Start Playing Chess FOR FREE: http://bit.ly/3Xa3EsB

➡️ Enjoy my videos? Donate Here : https://www.paypal.me/gothamchess

Email me your games: gothamletters@gmail.com
Business and Speaking Inquiries: Info@apollomasters.de

⭐️ Follow Me If You Are Amazing:
➡️ FACEBOOK:  https://www.facebook.com/gothamchessofficial
➡️ SNAP: https://www.snapchat.com/add/levy.rozman

➡️ INSTAGRAM: https://www.instagram.com/gothamchess/
➡️ TWITCH:  https://www.twitch.tv/gothamchess
➡️ TIKTOK: https://www.tiktok.com/@levyrozman
➡️ TWITTER: https://twitter.com/gothamchess
➡️ GOTHAM DISCORD:   https://discord.gg/f2ETqcWKdt

➡️ THUMBNAILS by : https://www.instagram.com/agmek.thumbnails",https://i.ytimg.com/vi/BsYGXeYEf8Q/hqdefault.jpg,available
GothamChess,https://www.youtube.com/@gothamchess,UCQHX6ViZmPsWiYSFAyS0a3Q,8,"The Tour",https://www.youtube.com/watch?v=57CWyWmiwtU,57CWyWmiwtU,2026-09-02T14:20:24Z,00:38,"380,569","Tickets: https://www.apollomasters.de/",https://i.ytimg.com/vi/57CWyWmiwtU/hqdefault.jpg,available
GothamChess,https://www.youtube.com/@gothamchess,UCQHX6ViZmPsWiYSFAyS0a3Q,9,"AI CHESS FAIL",https://www.youtube.com/watch?v=q5I6ByA5UkU,q5I6ByA5UkU,2026-09-01T20:12:28Z,00:30,"2,290,657","Want to SKYROCKET your chess elo? Try Chessly: https://www.chessly.com 

Get my BESTSELLING Chess Books for BEGINNER and INTERMEDIATE: https://sites.prh.com/gothamchessbook

➡️ My book in the UK and Europe: https://bit.ly/3qFqSf7
➡️ Mein Buch auf Deutsch: https://bit.ly/45fKt3R
➡️ Mi libro en Español: https://bit.ly/3Y5xaRx
➡️ Mon livre en français: https://bit.ly/3W9rQvQ
➡️ Il mio libro in italiano: https://amzn.to/3yY1Qfc
➡️ Το βιβλίο μου στα ελληνικά: https://bit.ly/3SitmdS
➡️ My book in ALL OTHER LANGUAGES: https://bit.ly/3YiagZd

➡️ Start Playing Chess FOR FREE: http://bit.ly/3Xa3EsB

➡️ Enjoy my videos? Donate Here : https://www.paypal.me/gothamchess

Email me your games: gothamletters@gmail.com
Business and Speaking Inquiries: Info@apollomasters.de

⭐️ Follow Me If You Are Amazing:
➡️ FACEBOOK:  https://www.facebook.com/gothamchessofficial
➡️ SNAP: https://www.snapchat.com/add/levy.rozman

➡️ INSTAGRAM: https://www.instagram.com/gothamchess/
➡️ TWITCH:  https://www.twitch.tv/gothamchess
➡️ TIKTOK: https://www.tiktok.com/@levyrozman
➡️ TWITTER: https://twitter.com/gothamchess
➡️ GOTHAM DISCORD:   https://discord.gg/f2ETqcWKdt",https://i.ytimg.com/vi/q5I6ByA5UkU/hqdefault.jpg,available
GothamChess,https://www.youtube.com/@gothamchess,UCQHX6ViZmPsWiYSFAyS0a3Q,10,"Chess has a new #1 (it's not Magnus)",https://www.youtube.com/watch?v=PeeQ9nuQYk4,PeeQ9nuQYk4,2026-09-01T17:02:29Z,31:39,"905,540","AUTOGRAPHED BOOKS: https://sites.prh.com/gothamchessbook

BOOK EVENTS NYC: https://sites.prh.com/gothamchessbook/book-tour/

EUROPE TOUR 2026 TICKETS: https://www.apollomasters.de/events/

Want to SKYROCKET your chess elo? Try Chessly: https://www.chessly.com 

➡️ My book in the UK and Europe: https://bit.ly/3qFqSf7
➡️ Mein Buch auf Deutsch: https://bit.ly/45fKt3R
➡️ Mi libro en Español: https://bit.ly/3Y5xaRx
➡️ Mon livre en français: https://bit.ly/3W9rQvQ
➡️ Il mio libro in italiano: https://amzn.to/3yY1Qfc
➡️ Το βιβλίο μου στα ελληνικά: https://bit.ly/3SitmdS
➡️ My book in ALL OTHER LANGUAGES: https://bit.ly/3YiagZd

➡️ Start Playing Chess FOR FREE: http://bit.ly/3Xa3EsB

➡️ Enjoy my videos? Donate Here : https://www.paypal.me/gothamchess

Email me your games: gothamletters@gmail.com
Business and Speaking Inquiries: Info@apollomasters.de

⭐️ Follow Me If You Are Amazing:
➡️ FACEBOOK:  https://www.facebook.com/gothamchessofficial
➡️ SNAP: https://www.snapchat.com/add/levy.rozman

➡️ INSTAGRAM: https://www.instagram.com/gothamchess/
➡️ TWITCH:  https://www.twitch.tv/gothamchess
➡️ TIKTOK: https://www.tiktok.com/@levyrozman
➡️ TWITTER: https://twitter.com/gothamchess
➡️ GOTHAM DISCORD:   https://discord.gg/f2ETqcWKdt

➡️ THUMBNAILS by : https://www.instagram.com/agmek.thumbnails",https://i.ytimg.com/vi/PeeQ9nuQYk4/hqdefault.jpg,available
